epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.0124,1.29399,1.54577,1.82303,0.78677,0.64902,0.7181,0.52537,1.1342,1.53993,1.72971,0.00030006,0.00030006,0.00030006
2,145.447,1.31088,1.5468,1.86321,0.66174,0.62821,0.71901,0.49489,1.22982,1.73344,1.80426,0.000586259,0.000586259,0.000586259
3,215.688,1.34511,1.73512,1.87196,0.50301,0.5817,0.54308,0.3331,1.29093,1.95887,1.79361,0.000841102,0.000841102,0.000841102
4,285.425,1.38623,1.66605,1.89675,0.69592,0.52903,0.61459,0.40056,1.26945,1.90488,1.7806,0.00106459,0.00106459,0.00106459
5,355.814,1.44043,1.8124,1.92659,0.71503,0.52754,0.61712,0.39592,1.33518,2.4618,1.91267,0.00125672,0.00125672,0.00125672
6,425.698,1.36272,1.6133,1.84676,0.48591,0.66312,0.64406,0.39793,1.34222,2.05583,1.8755,0.00125442,0.00125442,0.00125442
7,495.713,1.40537,1.68,1.90993,0.6694,0.58139,0.5911,0.39738,1.25459,1.83255,1.79857,0.0011719,0.0011719,0.0011719
8,565.791,1.37784,1.62666,1.90801,0.40122,0.56487,0.46304,0.31597,1.24089,2.42876,1.78267,0.00108938,0.00108938,0.00108938
9,635.797,1.3374,1.72295,1.88811,0.6969,0.66591,0.73916,0.53977,1.16065,1.42652,1.71378,0.00100687,0.00100687,0.00100687
10,705.718,1.321,1.49593,1.82034,0.56669,0.67228,0.64496,0.4628,1.21131,1.595,1.78126,0.000924352,0.000924352,0.000924352
11,775.286,1.16053,1.51189,1.65925,0.69849,0.63075,0.74088,0.51934,1.19183,1.67514,1.72783,0.000841835,0.000841835,0.000841835
12,844.864,1.05778,1.35432,1.61854,0.63642,0.63127,0.68332,0.47221,1.15459,1.45047,1.66814,0.000759318,0.000759318,0.000759318
13,914.517,1.07598,1.30636,1.61075,0.62623,0.69496,0.7102,0.49923,1.14354,1.40734,1.71222,0.000676802,0.000676802,0.000676802
14,984.222,1.07831,1.26263,1.6184,0.70286,0.72538,0.77297,0.56796,1.10038,1.264,1.64548,0.000594286,0.000594286,0.000594286
15,1053.95,0.99405,1.19227,1.54862,0.70336,0.72394,0.76529,0.55697,1.11349,1.31036,1.63014,0.000511769,0.000511769,0.000511769
16,1123.75,1.02327,1.20309,1.58768,0.82885,0.62209,0.81895,0.6165,1.11006,1.25749,1.64541,0.000429253,0.000429253,0.000429253
17,1193.37,1.00322,1.23678,1.56479,0.73502,0.75403,0.83155,0.6018,1.15346,1.3204,1.69438,0.000346736,0.000346736,0.000346736
18,1263.02,0.96668,1.1555,1.51466,0.81459,0.75214,0.83521,0.63058,1.0553,1.16175,1.60823,0.00026422,0.00026422,0.00026422
19,1332.62,0.92768,1.11793,1.51249,0.72909,0.81217,0.84139,0.63775,1.03229,1.09641,1.56277,0.000181703,0.000181703,0.000181703
20,1402.24,0.94286,1.13886,1.48842,0.77109,0.77218,0.83711,0.63588,1.04007,1.08945,1.57005,9.91865e-05,9.91865e-05,9.91865e-05
